epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6568,1.39908,2.87864,1.12441,0.52805,0.38334,0.35601,0.20368,1.21135,1.79668,1.20806,0.000540649,0.000540649,0.000540649
2,68.5976,1.2369,1.22279,1.12976,0.63387,0.5551,0.56329,0.36319,1.21203,1.33782,1.23586,0.00107461,0.00107461,0.00107461
3,80.4612,1.24436,0.95681,1.12605,0.7233,0.59725,0.63526,0.42969,1.127,0.91231,1.20512,0.00158656,0.00158656,0.00158656
4,90.5518,1.19075,0.92634,1.15756,0.73674,0.62385,0.65743,0.44688,1.11645,0.86585,1.19441,0.00156798,0.00156798,0.00156798
5,100.882,1.17937,0.88184,1.1273,0.72596,0.61805,0.65737,0.44581,1.10616,0.86023,1.20168,0.00153497,0.00153497,0.00153497
6,111.305,1.1967,0.85778,1.12756,0.7454,0.62341,0.66566,0.45607,1.11878,0.82493,1.22738,0.00150197,0.00150197,0.00150197
7,121.757,1.2229,0.87188,1.16028,0.76887,0.62852,0.68059,0.46671,1.09123,0.80596,1.19161,0.00146896,0.00146896,0.00146896
8,131.884,1.17381,0.83736,1.12157,0.76551,0.63819,0.68164,0.46944,1.09244,0.79952,1.18405,0.00143595,0.00143595,0.00143595
9,142.738,1.1735,0.82681,1.15207,0.74492,0.63782,0.67619,0.47547,1.06146,0.7941,1.19405,0.00140295,0.00140295,0.00140295
10,153.397,1.11664,0.79602,1.11944,0.75419,0.63156,0.68074,0.47675,1.06333,0.81302,1.16957,0.00136994,0.00136994,0.00136994
11,163.953,1.11703,0.7847,1.1063,0.75262,0.63367,0.67919,0.46695,1.09368,0.79176,1.18606,0.00133693,0.00133693,0.00133693
12,175.246,1.17005,0.81605,1.11382,0.75648,0.62438,0.67722,0.47692,1.035,0.82151,1.18244,0.00130393,0.00130393,0.00130393
13,186.331,1.10644,0.77512,1.12335,0.7683,0.64235,0.69656,0.48892,1.03915,0.76914,1.16682,0.00127092,0.00127092,0.00127092
14,197.186,1.09119,0.76522,1.11787,0.7688,0.63305,0.68483,0.4743,1.05824,0.79849,1.20272,0.00123791,0.00123791,0.00123791
15,208.324,1.10879,0.77778,1.10102,0.75603,0.63308,0.67739,0.47052,1.047,0.8127,1.17656,0.00120491,0.00120491,0.00120491
16,219.082,1.10725,0.77404,1.12601,0.76006,0.63041,0.68261,0.48179,1.03576,0.78475,1.21657,0.0011719,0.0011719,0.0011719
17,229.333,1.1059,0.76583,1.11048,0.74655,0.64507,0.68598,0.47185,1.08619,0.78103,1.19551,0.00113889,0.00113889,0.00113889
18,266.044,1.10884,0.76192,1.11646,0.76853,0.63754,0.68894,0.48785,1.02185,0.78559,1.16036,0.00110589,0.00110589,0.00110589
19,277.947,1.07467,0.73548,1.07441,0.74932,0.65653,0.69622,0.49666,1.00354,0.75842,1.1707,0.00107288,0.00107288,0.00107288
20,288.715,1.10158,0.74136,1.08786,0.77152,0.64096,0.70083,0.4971,1.01227,0.74751,1.18065,0.00103987,0.00103987,0.00103987
21,299.582,1.06533,0.72749,1.10004,0.77297,0.64773,0.70139,0.50154,1.00526,0.7558,1.18323,0.00100687,0.00100687,0.00100687
22,310.321,1.04812,0.72081,1.10091,0.7688,0.63818,0.69463,0.49984,0.99951,0.74966,1.17961,0.000973861,0.000973861,0.000973861
23,320.636,1.04898,0.71374,1.10119,0.7701,0.65188,0.69588,0.49979,1.00511,0.75615,1.16542,0.000940855,0.000940855,0.000940855
24,331.144,1.03654,0.69517,1.09732,0.76873,0.6504,0.70208,0.4971,1.00045,0.75107,1.15776,0.000907848,0.000907848,0.000907848
25,342.114,1.0227,0.6879,1.08455,0.78152,0.64235,0.69768,0.49609,1.01121,0.73416,1.1708,0.000874842,0.000874842,0.000874842
26,352.529,1.0755,0.71982,1.09962,0.77474,0.64649,0.69985,0.50412,0.98148,0.7503,1.15583,0.000841835,0.000841835,0.000841835
27,363.042,1.03895,0.70111,1.09283,0.76456,0.65327,0.70597,0.50584,0.99584,0.7357,1.16506,0.000808828,0.000808828,0.000808828
28,373.399,1.00916,0.67656,1.08751,0.77778,0.65182,0.70324,0.50592,0.98356,0.72975,1.19115,0.000775822,0.000775822,0.000775822
29,383.616,0.9973,0.66849,1.07575,0.76899,0.65726,0.7076,0.51027,0.98421,0.74179,1.15478,0.000742815,0.000742815,0.000742815
30,394.097,1.0411,0.6963,1.07501,0.77807,0.65053,0.70366,0.49998,1.00551,0.72934,1.18135,0.000709809,0.000709809,0.000709809
31,405.009,0.98348,0.66779,1.09742,0.78905,0.65342,0.71186,0.51298,0.99415,0.73732,1.16599,0.000676802,0.000676802,0.000676802
32,415.28,0.99673,0.66509,1.10227,0.78084,0.65456,0.71134,0.51137,0.99146,0.72133,1.17228,0.000643795,0.000643795,0.000643795
33,425.875,0.9939,0.66135,1.07524,0.77772,0.64513,0.7063,0.51145,0.97151,0.72326,1.16311,0.000610789,0.000610789,0.000610789
34,436.171,0.98535,0.65575,1.0731,0.76626,0.65762,0.70874,0.508,0.97919,0.73188,1.16879,0.000577782,0.000577782,0.000577782
35,446.716,1.00011,0.66303,1.08417,0.78898,0.64943,0.7093,0.51301,0.96308,0.71966,1.15795,0.000544776,0.000544776,0.000544776
36,457.144,1.00213,0.66522,1.07938,0.7983,0.63907,0.71182,0.5194,0.95351,0.72268,1.15113,0.000511769,0.000511769,0.000511769
37,467.829,0.99301,0.66877,1.0864,0.78305,0.64914,0.70825,0.51922,0.94805,0.72322,1.1436,0.000478762,0.000478762,0.000478762
38,478.348,0.96951,0.64689,1.07943,0.78306,0.64972,0.70725,0.51249,0.96349,0.73644,1.16286,0.000445756,0.000445756,0.000445756
39,488.846,0.99628,0.6658,1.08513,0.78127,0.65219,0.70718,0.5111,0.96437,0.72049,1.16147,0.000412749,0.000412749,0.000412749
40,499.408,0.98847,0.65664,1.09633,0.78564,0.65122,0.70729,0.51053,0.96929,0.71755,1.16497,0.000379743,0.000379743,0.000379743
41,543.315,0.93344,0.64022,1.11484,0.79583,0.64733,0.70905,0.51457,0.96126,0.71739,1.15514,0.000346736,0.000346736,0.000346736
42,554.837,0.8951,0.60572,1.11587,0.78723,0.65413,0.70956,0.51212,0.96961,0.72014,1.16159,0.000313729,0.000313729,0.000313729
43,564.539,0.91418,0.62058,1.11965,0.78994,0.65829,0.71277,0.51259,0.97578,0.71463,1.15414,0.000280723,0.000280723,0.000280723
44,574.378,0.91054,0.61047,1.10331,0.79326,0.65469,0.71156,0.51433,0.96327,0.71491,1.14491,0.000247716,0.000247716,0.000247716
45,584.327,0.91632,0.61698,1.12133,0.78668,0.65956,0.71234,0.52001,0.94559,0.70684,1.14166,0.00021471,0.00021471,0.00021471
46,594.328,0.89004,0.60182,1.12502,0.79106,0.6561,0.71742,0.52473,0.95067,0.70328,1.1475,0.000181703,0.000181703,0.000181703
47,604.672,0.87949,0.59205,1.09891,0.78953,0.65881,0.71501,0.52332,0.93905,0.70373,1.14618,0.000148696,0.000148696,0.000148696
48,614.897,0.91528,0.60957,1.09544,0.79652,0.64683,0.71275,0.51654,0.95968,0.71089,1.15576,0.00011569,0.00011569,0.00011569
49,624.98,0.87517,0.59084,1.09669,0.79519,0.65248,0.71418,0.52176,0.94412,0.70011,1.14489,8.26832e-05,8.26832e-05,8.26832e-05
50,634.929,0.89664,0.60228,1.09578,0.79298,0.65372,0.71514,0.52124,0.94766,0.70186,1.15156,4.96766e-05,4.96766e-05,4.96766e-05
