epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6714,1.15164,2.37938,1.06384,0.62203,0.60032,0.62173,0.4075,1.09193,1.07416,1.21311,0.000540649,0.000540649,0.000540649
2,136.658,1.07849,0.88168,1.13215,0.63931,0.38773,0.44361,0.31499,1.04408,1.22829,1.22429,0.00104205,0.00104205,0.00104205
3,173.233,1.14298,0.83341,1.12199,0.75662,0.63657,0.67881,0.45857,1.11684,0.81247,1.17426,0.00148844,0.00148844,0.00148844
4,210.669,1.10162,0.81194,1.13113,0.7443,0.64171,0.67924,0.47876,1.04315,0.82907,1.1973,0.00141945,0.00141945,0.00141945
5,235.537,1.08031,0.78139,1.12955,0.72828,0.61126,0.65083,0.45695,1.04281,0.95508,1.20277,0.00133693,0.00133693,0.00133693
6,256.982,1.08549,0.77572,1.11472,0.75583,0.63762,0.67979,0.48769,1.0139,0.81489,1.18191,0.00125442,0.00125442,0.00125442
7,274.435,1.10872,0.78401,1.12448,0.76093,0.64785,0.70832,0.50363,1.00793,0.77559,1.19654,0.0011719,0.0011719,0.0011719
8,290.928,1.07224,0.75015,1.11283,0.77625,0.66181,0.71061,0.50002,1.03281,0.76855,1.21183,0.00108938,0.00108938,0.00108938
9,306.993,1.04553,0.74041,1.12349,0.76846,0.67542,0.71788,0.52386,0.95879,0.71871,1.17797,0.00100687,0.00100687,0.00100687
10,323.224,0.97756,0.69813,1.09182,0.77371,0.66578,0.71016,0.51706,0.94888,0.72117,1.16039,0.000924352,0.000924352,0.000924352
11,445.169,0.96118,0.70124,1.10158,0.76702,0.62449,0.66993,0.48273,0.96632,0.75181,1.14698,0.000841835,0.000841835,0.000841835
12,598.382,0.95698,0.69918,1.08475,0.76839,0.65116,0.69823,0.51399,0.95487,0.73322,1.19218,0.000759318,0.000759318,0.000759318
13,622.211,0.96041,0.70273,1.13133,0.78782,0.66155,0.71737,0.52799,0.94295,0.71854,1.16387,0.000676802,0.000676802,0.000676802
14,641.416,0.9211,0.65437,1.13173,0.79119,0.67267,0.72017,0.5319,0.91771,0.69838,1.18158,0.000594286,0.000594286,0.000594286
15,663.614,0.90709,0.63477,1.11971,0.77102,0.67866,0.7196,0.53421,0.90876,0.68852,1.17445,0.000511769,0.000511769,0.000511769
16,691.089,0.90347,0.62587,1.1024,0.77744,0.68363,0.72089,0.52789,0.92,0.69777,1.17151,0.000429253,0.000429253,0.000429253
17,716.099,0.87802,0.599,1.11533,0.7794,0.67906,0.72507,0.53562,0.90739,0.68242,1.15963,0.000346736,0.000346736,0.000346736
18,1229.47,0.86123,0.58717,1.12242,0.77065,0.65341,0.69841,0.51457,0.90484,0.67431,1.14436,0.00026422,0.00026422,0.00026422
19,1302.81,0.84877,0.57591,1.07372,0.78105,0.68353,0.73006,0.55256,0.85227,0.65701,1.13383,0.000181703,0.000181703,0.000181703
20,1329.81,0.82128,0.56046,1.10413,0.77577,0.68298,0.73273,0.5529,0.85234,0.64642,1.14955,9.91865e-05,9.91865e-05,9.91865e-05
