epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7277,1.07425,2.11455,1.09532,0.68385,0.58574,0.616,0.41595,1.06821,1.01969,1.23062,0.000540649,0.000540649,0.000540649
2,88.7059,1.10472,0.86505,1.14607,0.7608,0.65819,0.68945,0.4795,1.037,0.81952,1.22586,0.00104205,0.00104205,0.00104205
3,119.938,1.13609,0.83685,1.13035,0.75632,0.62819,0.66355,0.46431,1.04874,0.80393,1.20671,0.00148844,0.00148844,0.00148844
4,148.685,1.1006,0.82143,1.16991,0.77055,0.62995,0.68102,0.47062,1.09524,0.81679,1.28909,0.00141945,0.00141945,0.00141945
5,225.482,1.10988,0.80268,1.14315,0.72858,0.62448,0.65632,0.46821,1.02153,0.93912,1.20837,0.00133693,0.00133693,0.00133693
6,532.173,1.08626,0.7815,1.13588,0.76833,0.66454,0.6984,0.49789,1.01849,0.77584,1.1911,0.00125442,0.00125442,0.00125442
7,561.364,1.09805,0.79903,1.12378,0.75001,0.62984,0.68681,0.49168,0.98419,0.81955,1.18713,0.0011719,0.0011719,0.0011719
8,585.62,1.05096,0.76714,1.11549,0.77302,0.65672,0.70057,0.50625,0.99291,0.81011,1.1737,0.00108938,0.00108938,0.00108938
9,611.375,1.07328,0.76815,1.14067,0.77251,0.65107,0.69266,0.49423,1.00112,0.74551,1.233,0.00100687,0.00100687,0.00100687
10,637.582,0.99622,0.72182,1.1112,0.79672,0.65863,0.70929,0.51368,0.96303,0.73351,1.18957,0.000924352,0.000924352,0.000924352
11,789.25,0.98837,0.73003,1.11934,0.76484,0.66155,0.6995,0.50411,0.99939,0.75912,1.15788,0.000841835,0.000841835,0.000841835
12,816.281,0.9887,0.70574,1.10051,0.78888,0.65386,0.7048,0.49983,1.00929,0.75037,1.16686,0.000759318,0.000759318,0.000759318
13,839.111,0.99251,0.70209,1.13572,0.78952,0.66926,0.71512,0.51981,0.96584,0.72957,1.1575,0.000676802,0.000676802,0.000676802
14,862.774,0.9398,0.65911,1.13147,0.77767,0.67683,0.71298,0.52004,0.95861,0.71222,1.18042,0.000594286,0.000594286,0.000594286
15,882.538,0.92548,0.65088,1.12408,0.78396,0.67785,0.72269,0.53096,0.94338,0.69297,1.18012,0.000511769,0.000511769,0.000511769
16,903.738,0.91552,0.64395,1.11421,0.76216,0.67108,0.71382,0.51937,0.93712,0.69783,1.17283,0.000429253,0.000429253,0.000429253
17,960.774,0.8907,0.61724,1.12977,0.77133,0.62904,0.68514,0.50485,0.91297,0.68463,1.15934,0.000346736,0.000346736,0.000346736
18,1022.41,0.86294,0.60066,1.13178,0.77031,0.65553,0.71344,0.52656,0.91327,0.67538,1.1645,0.00026422,0.00026422,0.00026422
19,1048.68,0.8567,0.59346,1.08347,0.78164,0.6623,0.72454,0.54501,0.86588,0.65921,1.14112,0.000181703,0.000181703,0.000181703
20,1072.92,0.83401,0.58061,1.1056,0.79218,0.65057,0.72103,0.54327,0.86518,0.66039,1.14137,9.91865e-05,9.91865e-05,9.91865e-05
